trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
3443371,11:38:00,11:38:00,2524,31,0,0
3443372,07:36:00,07:36:00,2524,31,0,0
3443373,08:06:00,08:06:00,2524,31,0,0
3443374,08:36:00,08:36:00,2524,31,0,0
3443375,09:06:00,09:06:00,2524,31,0,0
3443376,09:36:00,09:36:00,2524,31,0,0
3443377,10:06:00,10:06:00,2524,31,0,0
3443378,10:37:00,10:37:00,2524,31,0,0
3443379,11:08:00,11:08:00,2524,31,0,0
3443380,12:08:00,12:08:00,2524,31,0,0
3443381,12:38:00,12:38:00,2524,31,0,0
3443382,13:08:00,13:08:00,2524,31,0,0
3443383,13:38:00,13:38:00,2524,31,0,0
3443384,14:08:00,14:08:00,2524,31,0,0
3443385,14:38:00,14:38:00,2524,31,0,0
3443386,15:08:00,15:08:00,2524,31,0,0
3443387,15:38:00,15:38:00,2524,31,0,0
3443388,16:08:00,16:08:00,2524,31,0,0
3443389,16:38:00,16:38:00,2524,31,0,0
3443390,17:08:00,17:08:00,2524,31,0,0
3443391,17:38:00,17:38:00,2524,31,0,0
3443392,18:08:00,18:08:00,2524,31,0,0
3443393,18:37:00,18:37:00,2524,31,0,0
3443394,19:06:00,19:06:00,2524,31,0,0
3443395,19:36:00,19:36:00,2524,31,0,0
3443396,20:06:00,20:06:00,2524,31,0,0
3443397,20:36:00,20:36:00,2524,31,0,0
3443398,21:06:00,21:06:00,2524,31,0,0
3443399,21:36:00,21:36:00,2524,31,0,0
3443400,22:06:00,22:06:00,2524,31,0,0
3443401,22:36:00,22:36:00,2524,31,0,0
3443402,23:06:00,23:06:00,2524,31,0,0
3443403,23:36:00,23:36:00,2524,31,0,0
3443404,24:06:00,24:06:00,2524,31,0,0
3443405,24:36:00,24:36:00,2524,31,0,0
3437420,07:37:00,07:37:00,2524,31,0,0
3437421,08:07:00,08:07:00,2524,31,0,0
3437422,08:37:00,08:37:00,2524,31,0,0
3437423,09:07:00,09:07:00,2524,31,0,0
3437424,09:37:00,09:37:00,2524,31,0,0
3437425,10:08:00,10:08:00,2524,31,0,0
3437426,10:38:00,10:38:00,2524,31,0,0
3437427,11:08:00,11:08:00,2524,31,0,0
3437428,11:38:00,11:38:00,2524,31,0,0
3437429,12:08:00,12:08:00,2524,31,0,0
3437430,12:38:00,12:38:00,2524,31,0,0
3437431,13:08:00,13:08:00,2524,31,0,0
3437432,13:38:00,13:38:00,2524,31,0,0
3437433,14:08:00,14:08:00,2524,31,0,0
3437434,14:38:00,14:38:00,2524,31,0,0
3437435,15:08:00,15:08:00,2524,31,0,0
3437436,15:38:00,15:38:00,2524,31,0,0
3437437,16:08:00,16:08:00,2524,31,0,0
3437438,16:38:00,16:38:00,2524,31,0,0
3437439,17:08:00,17:08:00,2524,31,0,0
3437440,17:38:00,17:38:00,2524,31,0,0
3437441,18:08:00,18:08:00,2524,31,0,0
3437442,18:38:00,18:38:00,2524,31,0,0
3437443,19:07:00,19:07:00,2524,31,0,0
3437444,19:37:00,19:37:00,2524,31,0,0
3437445,20:07:00,20:07:00,2524,31,0,0
3437446,20:37:00,20:37:00,2524,31,0,0
3437447,21:07:00,21:07:00,2524,31,0,0
3437448,21:37:00,21:37:00,2524,31,0,0
3437449,22:07:00,22:07:00,2524,31,0,0
3437450,22:37:00,22:37:00,2524,31,0,0
3437451,23:07:00,23:07:00,2524,31,0,0
3437452,23:37:00,23:37:00,2524,31,0,0
3437453,24:07:00,24:07:00,2524,31,0,0
3437454,24:37:00,24:37:00,2524,31,0,0
3437456,07:12:00,07:12:00,2524,24,0,0
3441153,11:38:00,11:38:00,2524,31,0,0
3441154,07:36:00,07:36:00,2524,31,0,0
3441155,08:06:00,08:06:00,2524,31,0,0
3441156,08:36:00,08:36:00,2524,31,0,0
3441157,09:06:00,09:06:00,2524,31,0,0
3441158,09:36:00,09:36:00,2524,31,0,0
3441159,10:06:00,10:06:00,2524,31,0,0
3441160,10:37:00,10:37:00,2524,31,0,0
3441161,11:08:00,11:08:00,2524,31,0,0
3441162,12:08:00,12:08:00,2524,31,0,0
3441163,12:38:00,12:38:00,2524,31,0,0
3441164,13:08:00,13:08:00,2524,31,0,0
3441165,13:38:00,13:38:00,2524,31,0,0
3441166,14:08:00,14:08:00,2524,31,0,0
3441167,14:38:00,14:38:00,2524,31,0,0
3441168,15:08:00,15:08:00,2524,31,0,0
3441169,15:38:00,15:38:00,2524,31,0,0
3441170,16:08:00,16:08:00,2524,31,0,0
3441171,16:38:00,16:38:00,2524,31,0,0
3441172,17:08:00,17:08:00,2524,31,0,0
3441173,17:38:00,17:38:00,2524,31,0,0
3441174,18:08:00,18:08:00,2524,31,0,0
3441175,18:37:00,18:37:00,2524,31,0,0
3441176,19:06:00,19:06:00,2524,31,0,0
3441177,19:36:00,19:36:00,2524,31,0,0
3441178,20:06:00,20:06:00,2524,31,0,0
3441179,20:36:00,20:36:00,2524,31,0,0
3441180,21:06:00,21:06:00,2524,31,0,0
3441181,21:36:00,21:36:00,2524,31,0,0
3441182,22:06:00,22:06:00,2524,31,0,0
3441183,22:36:00,22:36:00,2524,31,0,0
3441184,23:06:00,23:06:00,2524,31,0,0
3441185,23:36:00,23:36:00,2524,31,0,0
3441186,24:06:00,24:06:00,2524,31,0,0
3441187,24:36:00,24:36:00,2524,31,0,0
3430655,10:27:00,10:27:00,2524,31,0,0
3430656,10:57:00,10:57:00,2524,31,0,0
3430657,11:27:00,11:27:00,2524,31,0,0
3430658,11:57:00,11:57:00,2524,31,0,0
3430659,12:27:00,12:27:00,2524,31,0,0
3430660,12:57:00,12:57:00,2524,31,0,0
3430661,13:27:00,13:27:00,2524,31,0,0
3430662,13:57:00,13:57:00,2524,31,0,0
3430663,14:27:00,14:27:00,2524,31,0,0
3430664,15:00:00,15:00:00,2524,31,0,0
3430665,16:34:00,16:34:00,2524,31,0,0
3430666,17:24:00,17:24:00,2524,31,0,0
3430667,18:20:00,18:20:00,2524,31,0,0
3430668,18:45:00,18:45:00,2524,31,0,0
3430669,19:13:00,19:13:00,2524,31,0,0
3430670,19:43:00,19:43:00,2524,31,0,0
3430671,20:13:00,20:13:00,2524,31,0,0
3430672,20:43:00,20:43:00,2524,31,0,0
3430673,21:13:00,21:13:00,2524,31,0,0
3430674,21:43:00,21:43:00,2524,31,0,0
3430675,22:13:00,22:13:00,2524,31,0,0
3430676,22:41:00,22:41:00,2524,31,0,0
3430677,23:11:00,23:11:00,2524,31,0,0
3430678,23:41:00,23:41:00,2524,31,0,0
3430679,24:11:00,24:11:00,2524,31,0,0
3430680,24:41:00,24:41:00,2524,31,0,0
3430682,09:58:00,09:58:00,2524,31,0,0
